City,Listing_Language,URL-Validated,URL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiryat Ono,Hebrew,2025-02-06T00:22:00Z,https://www.kiryatono.muni.il/%D7%9E%D7%A7%D7%9C%D7%98%D7%99%D7%9D-%D7%A6%D7%99%D7%91%D7%95%D7%A8%D7%99%D7%99%D7%9D-%D7%91%D7%A2%D7%99%D7%A8/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alona,Hebrew,2025-02-06T00:22:00Z,https://www.alona.org.il/%D7%9E%D7%A7%D7%9C%D7%98%D7%99%D7%9D/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akko,Hebrew,2025-02-06T00:22:00Z,https://www.akko.muni.il/he/%D7%9E%D7%A7%D7%9C%D7%98%D7%99%D7%9D-%D7%A6%D7%99%D7%91%D7%95%D7%A8%D7%99%D7%99%D7%9D/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosh HaAyin,Hebrew,2025-02-06T00:22:00Z,https://www.rosh-haayin.muni.il/217/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beer Sheva,Hebrew,2025-02-06T00:22:00Z,https://www.beer-sheva.muni.il/Residents/Emergency/b7/pages/miklatim.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramat Gan,Hebrew,2025-02-06T00:22:00Z,https://www.ramat-gan.muni.il/department-security-and-enforcement/business-units/emergency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kfar Yona,Hebrew,2025-02-06T00:22:00Z,https://kfar-yona.muni.il/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA-%D7%9E%D7%A7%D7%9C%D7%98%D7%99%D7%9D-%D7%A6%D7%99%D7%91%D7%95%D7%A8%D7%99%D7%99%D7%9D/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashdod,Hebrew,2025-02-06T00:22:00Z,https://www.ashdod.muni.il/he-il/%D7%90%D7%AA%D7%A8-%D7%94%D7%A2%D7%99%D7%A8/%D7%91%D7%99%D7%98%D7%97%D7%95%D7%9F-%D7%A2%D7%99%D7%A8%D7%95%D7%A0%D7%99/%D7%9E%D7%A7%D7%9C%D7%98%D7%99%D7%9D-%D7%A6%D7%99%D7%91%D7%95%D7%A8%D7%99%D7%99%D7%9D/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kfar Saba,Hebrew,2025-02-06T00:22:00Z,https://www.kfar-saba.muni.il/%D7%9E%D7%A7%D7%9C%D7%98%D7%99%D7%9D-%D7%A6%D7%99%D7%91%D7%95%D7%A8%D7%99%D7%99%D7%9D-%D7%9C%D7%A9%D7%A2%D7%AA-%D7%97%D7%99%D7%A8%D7%95%D7%9D/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eilat,Hebrew,2025-02-06T00:22:00Z,https://www.eilat.muni.il/protected-space/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiryat Shmoneh,Hebrew,2025-02-06T00:22:00Z,https://www.k-8.co.il/he/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA-%D7%9E%D7%A7%D7%9C%D7%98%D7%99%D7%9D-%D7%A6%D7%99%D7%91%D7%95%D7%A8%D7%99%D7%99%D7%9D-%D7%91%D7%A2%D7%99%D7%A8/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ariel,Hebrew,2025-02-06T00:22:00Z,https://www.ariel.muni.il/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA-%D7%9E%D7%A7%D7%9C%D7%98%D7%99%D7%9D-%D7%91%D7%A2%D7%99%D7%A8/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiberias,Hebrew,2025-02-06T00:22:00Z,https://www.tiberias.muni.il/city/Documents/%D7%91%D7%98%D7%97%D7%95%D7%9F%20%D7%95%D7%97%D7%99%D7%A8%D7%95%D7%9D/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%9E%D7%A7%D7%9C%D7%98%D7%99%D7%9D-%D7%A2%D7%93%D7%9B%D7%95%D7%9F%20%D7%9E%D7%AA%D7%90%D7%A8%D7%99%D7%9A%2012-5-21.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Safed,Hebrew,2025-02-06T00:22:00Z,https://www.zefat.muni.il/emergency/%D7%9E%D7%A7%D7%9C%D7%98%D7%99%D7%9D-%D7%A6%D7%99%D7%91%D7%95%D7%A8%D7%99%D7%99%D7%9D/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
